Volcano Name,Country,Continent,Area of Activity,VEI,Date,Evidence Method (dating);
"222120,""Lengai, Ol Doinyo"",13828,2007,101561,Lava lake,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",13828,2007,101562,Property damage,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",13828,2007,101563,Evacuations,,,2007,,7,,19,";
"222120,""Lengai, Ol Doinyo"",13828,2007,101564,Earthquakes (undefined),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",13828,2007,101565,Lightning,,,,,,,,";
222130,Chyulu Hills,13829,1470,101566,Lava flow(s),,,,,,,,;
222130,Chyulu Hills,13830,1855,101568,Explosion,,,,,,,,;
222130,Chyulu Hills,13830,1855,101569,Lava flow(s),,,,,,,,;
211060,Etna,13831,1994,101572,Explosion,,,,,,,,;
211060,Etna,13831,1994,101573,Ash,,,,,,,,;
211060,Etna,13831,1994,101574,Lapilli,,,,,,,,;
211060,Etna,13831,1994,101575,Bombs,,,,,,,,;
211060,Etna,13831,1994,101576,Pyroclastic flow,,,,,,,,;
211060,Etna,13831,1994,101577,Lava flow(s),,,,,,,,;
211060,Etna,13831,1994,101578,Lava dome formation,,,,,,,,;
211060,Etna,13831,1994,101579,Property damage,,,,,,,,;
211060,Etna,13831,1994,101580,Lava fountains,,,,,,,,;
211060,Etna,13831,1994,101581,Volcanic tremor,,,,,,,,;
211060,Etna,13831,1994,101582,Earthquakes (undefined),,,,,,,,;
211060,Etna,13831,1994,101583,Deformation (deflation),,,,,,,,;
211060,Etna,13831,1994,101584,Blocks,,,,,,,,;
211060,Etna,13832,2001,101586,Explosion,,,,,,,,;
211060,Etna,13832,2001,101587,Bombs,,,,,,,,;
211060,Etna,13832,2001,101588,Lava flow(s),,,,,,,,;
211060,Etna,13832,2001,101589,Property damage,,,,,,,,;
211060,Etna,13832,2001,101590,Lava fountains,,,,,,,,;
211060,Etna,13838,2004,101591,Explosion,,,,,,,,;
211060,Etna,13838,2004,101592,Ash,weak or small,,,,,,,;
282110,Asosan,13839,1956,101594,Explosion,,,,,,,,;
282110,Asosan,13840,1956,101596,Explosion,,,,,,,,;
282110,Asosan,13841,1957,101598,Explosion,,,,,,,,;
282110,Asosan,13841,1957,101599,Scoria,,,,,,,,;
282110,Asosan,13842,1957,101601,Explosion,,,,,,,,;
282110,Asosan,13842,1957,101602,Scoria,,,,,,,,;
282110,Asosan,13842,1957,101603,Property damage,,,,,,,,;
282110,Asosan,13842,1957,101604,Fatalities,,,1958,,6,,24,;
282110,Asosan,13842,1957,101605,Volcanic tremor,,,,,,,,;
282110,Asosan,13843,1959,101607,Explosion,,,,,,,,;
282110,Asosan,13844,1960,101609,Explosion,,,,,,,,;
282110,Asosan,13845,1960,101611,Explosion,,,,,,,,;
282110,Asosan,13845,1960,101612,Scoria,,,,,,,,;
282110,Asosan,13845,1960,101613,Phreatic activity,,,,,,,,;
211060,Etna,13846,2004,101616,Explosion,,,,,,,,;
211060,Etna,13846,2004,101617,Ash,,,,,,,,;
211060,Etna,13846,2004,101618,Lava flow(s),,,,,,,,;
211060,Etna,13846,2004,101619,Debris avalanches,weak or small,,,,,,,;
211060,Etna,13847,2005,101621,Explosion,weak or small,,,,,,,;
211060,Etna,13847,2005,101622,Earthquakes (undefined),,,,,,,,;
211060,Etna,13853,2010,101624,Ash,,,,,,,,;
211060,Etna,13853,2010,101625,Earthquakes (undefined),,,,,,,,;
211060,Etna,13854,2010,101627,Explosion,,,,,,,,;
211060,Etna,13854,2010,101628,Ash,,,,,,,,;
211060,Etna,13854,2010,101629,Loud audible noises,,,,,,,,;
211071,Pantelleria,13855,-7050,101631,Explosion,,,,,,,,;
211071,Pantelleria,13855,-7050,101632,Tephra,,,,,,,,;
211071,Pantelleria,13855,-7050,101633,Lava flow(s),,,,,,,,;
211071,Pantelleria,13856,-6130,101635,Explosion,,,,,,,,;
211071,Pantelleria,13856,-6130,101636,Pumice,,,,,,,,;
211071,Pantelleria,13857,-5610,101638,Explosion,,,,,,,,;
211071,Pantelleria,13857,-5610,101639,Pumice,,,,,,,,;
211071,Pantelleria,13858,-4550,101641,Explosion,,,,,,,,;
211071,Pantelleria,13858,-4550,101642,Scoria,,,,,,,,;
211071,Pantelleria,13859,-4430,101644,Explosion,,,,,,,,;
211071,Pantelleria,13859,-4430,101645,Lava flow(s),,,,,,,,;
211071,Pantelleria,13859,-4430,101646,Lava dome formation,,,,,,,,;
211071,Pantelleria,13859,-4430,101647,Pumice,,,,,,,,;
211071,Pantelleria,13859,-4430,101648,Lava flow(s),Entered water.,,,,,,,;
211071,Pantelleria,13860,-1080,101650,Explosion,,,,,,,,;
211071,Pantelleria,13860,-1080,101651,Pumice,,,,,,,,;
211071,Pantelleria,13862,1891,101655,Explosion,,,,,,,,;
212040,Santorini,13879,-1610,101660,Explosion,extremely violent or catastrophic,,,,,,,;
212040,Santorini,13879,-1610,101661,Ash,extremely violent or catastrophic,,,,,,,;
212040,Santorini,13879,-1610,101662,Pyroclastic flow,,,,,,,,;
212040,Santorini,13879,-1610,101663,Phreatic activity,,,,,,,,;
212040,Santorini,13879,-1610,101664,Property damage,,,,,,,,;
212040,Santorini,13879,-1610,101665,Fatalities,,,-1610,14,,,,;
212040,Santorini,13879,-1610,101666,Lahar or mudflow,,,,,,,,;
212040,Santorini,13879,-1610,101667,Tsunami,,,,,,,,;
212040,Santorini,13879,-1610,101668,Caldera formation,Explosion,,,,,,,;
212040,Santorini,13879,-1610,101669,Evacuations,,,,,,,,;
212040,Santorini,13879,-1610,101670,Earthquakes (undefined),,,,,,,,;
212040,Santorini,13880,-197,101674,Island formation,,,,,,,,;
212040,Santorini,13880,-197,101675,Explosion,,,,,,,,;
212040,Santorini,13880,-197,101676,Cinder cone formation,,,,,,,,;
212040,Santorini,13882,46,101681,Island formation,ephemeral,,,,,,,;
212040,Santorini,13882,46,101682,Explosion,,,,,,,,;
212040,Santorini,13882,46,101683,Lava flow(s),,,,,,,,;
212040,Santorini,13882,46,101684,Lava dome formation,,,,,,,,;
212040,Santorini,13882,46,101685,Tsunami,,,,,,,,;
212040,Santorini,13882,46,101686,Earthquakes (undefined),,,,,,,,;
212040,Santorini,13886,1707,101690,Lava dome formation,,,,,,,,;
212040,Santorini,13886,1707,101691,Property damage,,,,,,,,;
212040,Santorini,13886,1707,101692,Earthquakes (undefined),Before.,,,,,,,;
212040,Santorini,13886,1707,101693,Earthquakes (undefined),,,,,,,,;
212040,Santorini,13886,1707,101694,Pumice,,,,,,,,;
212040,Santorini,13887,1866,101698,Island formation,,,,,,,,;
212040,Santorini,13887,1866,101699,Explosion,,,,,,,,;
212040,Santorini,13887,1866,101700,Lava flow(s),,,,,,,,;
212040,Santorini,13887,1866,101701,Lava dome formation,,,,,,,,;
212040,Santorini,13887,1866,101702,Property damage,,,,,,,,;
212040,Santorini,13887,1866,101703,Fatalities,,,1866,,2,,20,;
212040,Santorini,13887,1866,101704,Evacuations,,,,,,,,;
212040,Santorini,13887,1866,101705,Earthquakes (undefined),,,,,,,,;
212040,Santorini,13887,1866,101706,Deformation (deflation),,,,,,,,;
212040,Santorini,13888,1925,101710,Explosion,,,,,,,,;
212040,Santorini,13888,1925,101711,Pyroclastic flow,weak or small,,,,,,,;
212040,Santorini,13888,1925,101712,Phreatic activity,,,,,,,,;
212040,Santorini,13888,1925,101713,Lava flow(s),,,,,,,,;
212040,Santorini,13888,1925,101714,Lava dome formation,,,,,,,,;
212040,Santorini,13888,1925,101715,Fatalities,Uncertain,,1926,,,,,;
212040,Santorini,13889,1928,101718,Explosion,,,,,,,,;
212040,Santorini,13889,1928,101719,Phreatic activity,,,,,,,,;
212040,Santorini,13889,1928,101720,Lava flow(s),,,,,,,,;
212040,Santorini,13889,1928,101721,Lava dome formation,,,,,,,,;
212050,Nisyros,13895,1873,101723,Lahar or mudflow,,,,,,,,;
212050,Nisyros,13895,1873,101724,Mud,,,,,,,,;
212050,Nisyros,13895,1873,101725,Earthquakes (undefined),Before.,,,,,,,;
212050,Nisyros,13895,1873,101726,Blocks,,,,,,,,;
212050,Nisyros,13896,1888,101728,Lapilli,,,,,,,,;
212050,Nisyros,13896,1888,101729,Phreatic activity,,,,,,,,;
213020,Nemrut Dagi,13899,-1396,101737,Explosion,,,,,,,,;
213020,Nemrut Dagi,13899,-1396,101738,Ash,,,,,,,,;
213004,Acigol-Nevsehir,13900,-7810,101740,Explosion,,,,,,,,;
213004,Acigol-Nevsehir,13900,-7810,101741,Scoria,,,,,,,,;
213004,Acigol-Nevsehir,13901,-6230,101743,Explosion,,,,,,,,;
213004,Acigol-Nevsehir,13901,-6230,101744,Scoria,,,,,,,,;
213004,Acigol-Nevsehir,13902,-3500,101746,Explosion,,,,,,,,;
213004,Acigol-Nevsehir,13902,-3500,101747,Scoria,,,,,,,,;
213004,Acigol-Nevsehir,13903,-2370,101749,Explosion,,,,,,,,;
213004,Acigol-Nevsehir,13903,-2370,101750,Scoria,,,,,,,,;
213004,Acigol-Nevsehir,13904,-2080,101751,Explosion,,,,,,,,;
213004,Acigol-Nevsehir,13904,-2080,101752,Ash,,,,,,,,;
213004,Acigol-Nevsehir,13904,-2080,101753,Property damage,,,,,,,,;
213010,Erciyes Dagi,13905,-6880,101754,Explosion,,,,,,,,;
213010,Erciyes Dagi,13905,-6880,101755,Ash,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101758,Explosion,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101759,Ash,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101760,Bombs,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101761,Scoria,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101762,Lava flow(s),,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101763,Lava dome formation,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101764,Lahar or mudflow,,,,,,,,;
290180,Zavaritzki Caldera,13917,1957,101765,Cinder cone formation,,,,,,,,;
214100,Tskhouk-Karckar,13918,-3000,101767,Explosion,,,,,,,,;
214100,Tskhouk-Karckar,13918,-3000,101768,Lava flow(s),,,,,,,,;
214100,Tskhouk-Karckar,13918,-3000,101769,Property damage,,,,,,,,;
214100,Tskhouk-Karckar,13918,-3000,101770,Evacuations,,,,,,,,;
"221010,""Tair, Jebel at"",13919,1750,101771,Explosion,,,,,,,,";
"221010,""Tair, Jebel at"",13920,1833,101772,Explosion,,,,,,,,";
"221010,""Tair, Jebel at"",13921,1863,101773,Explosion,Uncertain,,,,,,,";
"221010,""Tair, Jebel at"",13922,1883,101774,Explosion,Uncertain,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101777,Explosion,,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101778,Ash,,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101779,Scoria,,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101780,Lava flow(s),,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101781,Fatalities,,,2007,,9,,30,";
"221010,""Tair, Jebel at"",13923,2007,101782,Evacuations,,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101783,Lava fountains,,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101784,Earthquakes (undefined),Before.,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101785,Earthquakes (undefined),,,,,,,,";
"221010,""Tair, Jebel at"",13923,2007,101786,Pumice,,,,,,,,";
221020,Zubair Group,13924,1824,101787,Explosion,,,,,,,,;
221100,Dubbi,13937,1861,101789,Bombs,,,,,,,,;
221100,Dubbi,13937,1861,101790,Pyroclastic flow,Uncertain,,,,,,,;
221100,Dubbi,13937,1861,101791,Lava flow(s),,,,,,,,;
221100,Dubbi,13937,1861,101792,Property damage,,,,,,,,;
221100,Dubbi,13937,1861,101793,Fatalities,,,1861,,,,,;
221100,Dubbi,13937,1861,101794,Earthquakes (undefined),,,,,,,,;
221112,Alayta,13940,1907,101799,Explosion,,,,,,,,;
221112,Alayta,13940,1907,101800,Lava flow(s),,,,,,,,;
221112,Alayta,13940,1907,101801,Property damage,,,,,,,,;
221112,Alayta,13940,1907,101802,Fatalities,,,1907,,,,,;
221112,Alayta,13940,1907,101803,Earthquakes (undefined),,,,,,,,;
221112,Alayta,13941,1915,101804,Explosion,,,,,,,,;
221113,Dabbahu,13942,2005,101806,Explosion,,,,,,,,;
221113,Dabbahu,13942,2005,101807,Ash,,,,,,,,;
221113,Dabbahu,13942,2005,101808,Lava dome formation,,,,,,,,;
221113,Dabbahu,13942,2005,101809,Evacuations,,,,,,,,;
221113,Dabbahu,13942,2005,101810,Volcanic tremor,,,,,,,,;
221113,Dabbahu,13942,2005,101811,Earthquakes (undefined),Before.,,,,,,,;
221113,Dabbahu,13942,2005,101812,Earthquakes (undefined),,,,,,,,;
221113,Dabbahu,13942,2005,101813,Earthquakes (undefined),After.,,,,,,,;
221115,Manda Hararo,13943,2007,101815,Explosion,,,,,,,,;
221115,Manda Hararo,13943,2007,101816,Bombs,,,,,,,,;
221115,Manda Hararo,13943,2007,101817,Scoria,,,,,,,,;
221115,Manda Hararo,13943,2007,101818,Lava flow(s),,,,,,,,;
221115,Manda Hararo,13943,2007,101819,Evacuations,,,,,,,,;
221115,Manda Hararo,13943,2007,101820,Earthquakes (undefined),Before.,,,,,,,;
221250,Tullu Moje,13955,1775,101823,Lava flow(s),,,,,,,,;
221250,Tullu Moje,13956,1900,101825,Explosion,,,,,,,,;
221250,Tullu Moje,13956,1900,101826,Tephra,,,,,,,,;
221250,Tullu Moje,13956,1900,101827,Lava flow(s),,,,,,,,;
221250,Tullu Moje,13956,1900,101828,Property damage,,,,,,,,;
221270,Alutu,13957,-50,101829,Explosion,,,,,,,,;
221270,Alutu,13957,-50,101830,Lava flow(s),,,,,,,,;
221270,Alutu,13957,-50,101831,Lava flow(s),Obsidian.,,,,,,,;
221270,Alutu,13957,-50,101832,Pumice,,,,,,,,;
222020,South Island,13960,1888,101838,Explosion,,,,,,,,;
"222030,""Barrier, The"",13961,-7710,101840,Explosion,,,,,,,,";
"222030,""Barrier, The"",13961,-7710,101841,Lava flow(s),,,,,,,,";
"222030,""Barrier, The"",13962,1030,101843,Lava flow(s),,,,,,,,";
"222030,""Barrier, The"",13963,1050,101845,Lava flow(s),,,,,,,,";
"222030,""Barrier, The"",13964,1090,101847,Lava flow(s),,,,,,,,";
"222030,""Barrier, The"",13965,1871,101849,Explosion,,,,,,,,";
"222030,""Barrier, The"",13965,1871,101850,Lava flow(s),,,,,,,,";
"222030,""Barrier, The"",13966,1888,101853,Lava flow(s),,,,,,,,";
222051,Emuruangogolak,13980,1300,101855,Lava flow(s),,,,,,,,;
222051,Emuruangogolak,13981,1700,101857,Lava flow(s),,,,,,,,;
222051,Emuruangogolak,13982,1910,101859,Lava flow(s),,,,,,,,;
222051,Emuruangogolak,13982,1910,101860,Cinder cone formation,,,,,,,,;
222052,Silali,13983,-7050,101862,Explosion,,,,,,,,;
222052,Silali,13983,-7050,101863,Lava flow(s),,,,,,,,;
222052,Silali,13983,-7050,101864,Lava dome formation,,,,,,,,;
222052,Silali,13983,-7050,101865,Pumice,,,,,,,,;
222052,Silali,13984,-6050,101868,Explosion,,,,,,,,;
222052,Silali,13984,-6050,101869,Lava flow(s),,,,,,,,;
300060,Mutnovsky,13985,1939,101871,Explosion,,,,,,,,;
300060,Mutnovsky,13986,1945,101873,Explosion,,,,,,,,;
222052,Silali,13987,-5050,101875,Lava flow(s),,,,,,,,;
222052,Silali,13987,-5050,101876,Lava dome formation,,,,,,,,;
222053,Paka,13988,-7550,101878,Explosion,,,,,,,,;
222053,Paka,13988,-7550,101879,Tephra,,,,,,,,;
222053,Paka,13988,-7550,101880,Pyroclastic flow,,,,,,,,;
222053,Paka,13988,-7550,101881,Lahar or mudflow,,,,,,,,;
222053,Paka,13988,-7550,101882,Caldera formation,Explosion,,,,,,,;
222060,Menengai,13989,-7350,101884,Explosion,,,,,,,,;
222060,Menengai,13989,-7350,101885,Ash,,,,,,,,;
222060,Menengai,13989,-7350,101886,Phreatic activity,,,,,,,,;
"222120,""Lengai, Ol Doinyo"",14003,1882,101888,Lava flow(s),Uncertain,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14003,1882,101889,Loud audible noises,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14005,1904,101892,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14006,1907,101894,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14007,1913,101896,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14008,1914,101898,Lava flow(s),,,,,,,,";
300260,Klyuchevskoy,14009,1922,101900,Explosion,,,,,,,,;
300260,Klyuchevskoy,14010,1923,101902,Explosion,,,,,,,,;
300260,Klyuchevskoy,14011,1925,101904,Explosion,,,,,,,,;
"222120,""Lengai, Ol Doinyo"",14012,1916,101906,Explosion,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14012,1916,101907,Ash,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14012,1916,101908,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14012,1916,101909,Property damage,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14012,1916,101910,Fauna kill,Terrestrial.,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14013,1921,101912,Explosion,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14013,1921,101913,Lahar or mudflow,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14014,1926,101915,Explosion,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14014,1926,101916,Ash,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14015,1940,101918,Explosion,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14015,1940,101919,Ash,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14015,1940,101920,Lapilli,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14020,1967,101921,Property damage,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101926,Explosion,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101927,Ash,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101928,Bombs,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101929,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101930,Lava lake,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14023,1983,101931,Earthquakes (undefined),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101933,Explosion,weak or small,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101934,Lapilli,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101935,Lava flow(s),,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101936,Lava lake,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101937,Evacuations,,,2006,,4,,1,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101938,Lava fountains,,,,,,,,";
"222120,""Lengai, Ol Doinyo"",14024,1994,101939,Earthquakes (undefined),,,,,,,,";
222164,Ngozi,14025,-8250,101941,Explosion,,,,,,,,;
222164,Ngozi,14025,-8250,101942,Ash,,,,,,,,;
222164,Ngozi,14025,-8250,101943,Lapilli,,,,,,,,;
222164,Ngozi,14025,-8250,101944,Pyroclastic flow,,,,,,,,;
222164,Ngozi,14025,-8250,101945,Caldera formation,Explosion,,,,,,,;
222164,Ngozi,14025,-8250,101946,Pumice,,,,,,,,;
222164,Ngozi,14026,1450,101948,Explosion,,,,,,,,;
222164,Ngozi,14026,1450,101949,Ash,,,,,,,,;
222164,Ngozi,14026,1450,101950,Pyroclastic flow,,,,,,,,;
222166,Rungwe,14027,-2050,101952,Explosion,,,,,,,,;
222166,Rungwe,14027,-2050,101953,Lapilli,,,,,,,,;
223020,Nyamuragira,14038,1550,101955,Lava flow(s),Uncertain,,,,,,,;
223020,Nyamuragira,14038,1550,101956,Caldera formation,Lava effusion,,,,,,,;
223020,Nyamuragira,14041,1894,101960,Explosion,,,,,,,,;
223020,Nyamuragira,14041,1894,101961,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14042,1896,101962,Explosion,,,,,,,,;
223020,Nyamuragira,14043,1899,101965,Explosion,,,,,,,,;
223020,Nyamuragira,14043,1899,101966,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14044,1901,101968,Explosion,,,,,,,,;
223020,Nyamuragira,14044,1901,101969,Scoria,,,,,,,,;
223020,Nyamuragira,14044,1901,101970,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14044,1901,101971,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14044,1901,101972,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14045,1902,101975,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14046,1904,101977,Explosion,,,,,,,,;
223020,Nyamuragira,14046,1904,101978,Scoria,,,,,,,,;
223020,Nyamuragira,14046,1904,101979,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14046,1904,101980,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14046,1904,101981,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14047,1905,101983,Explosion,,,,,,,,;
223020,Nyamuragira,14047,1905,101984,Scoria,,,,,,,,;
223020,Nyamuragira,14047,1905,101985,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14047,1905,101986,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14056,1938,101989,Explosion,,,,,,,,;
223020,Nyamuragira,14056,1938,101990,Phreatic activity,,,,,,,,;
223020,Nyamuragira,14056,1938,101991,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14056,1938,101992,Lava lake,,,,,,,,;
223020,Nyamuragira,14056,1938,101993,Property damage,,,,,,,,;
223020,Nyamuragira,14056,1938,101994,Tsunami,,,,,,,,;
223020,Nyamuragira,14056,1938,101995,Fauna kill,Aquatic.,,,,,,,;
223020,Nyamuragira,14056,1938,101996,Fauna kill,Terrestrial.,,,,,,,;
223020,Nyamuragira,14057,1948,101999,Explosion,,,,,,,,;
223020,Nyamuragira,14057,1948,102000,Bombs,,,,,,,,;
223020,Nyamuragira,14057,1948,102001,Scoria,,,,,,,,;
223020,Nyamuragira,14057,1948,102002,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14057,1948,102003,Lava lake,,,,,,,,;
223020,Nyamuragira,14057,1948,102004,Lava fountains,,,,,,,,;
223020,Nyamuragira,14057,1948,102005,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14057,1948,102006,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14057,1948,102007,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14058,1951,102009,Explosion,,,,,,,,;
223020,Nyamuragira,14058,1951,102010,Tephra,,,,,,,,;
223020,Nyamuragira,14059,1951,102014,Explosion,,,,,,,,;
223020,Nyamuragira,14059,1951,102015,Ash,,,,,,,,;
223020,Nyamuragira,14059,1951,102016,Scoria,,,,,,,,;
223020,Nyamuragira,14059,1951,102017,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14059,1951,102018,Lava lake,Small,,,,,,,;
223020,Nyamuragira,14059,1951,102019,Flames,,,,,,,,;
223020,Nyamuragira,14066,1967,102020,Explosion,,,,,,,,;
223020,Nyamuragira,14066,1967,102021,Scoria,,,,,,,,;
223020,Nyamuragira,14066,1967,102022,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14066,1967,102023,Lava fountains,,,,,,,,;
223020,Nyamuragira,14066,1967,102024,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14066,1967,102025,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14067,1971,102027,Explosion,,,,,,,,;
223020,Nyamuragira,14067,1971,102028,Tephra,,,,,,,,;
223020,Nyamuragira,14067,1971,102029,Scoria,,,,,,,,;
223020,Nyamuragira,14067,1971,102030,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14067,1971,102031,Property damage,,,,,,,,;
223020,Nyamuragira,14067,1971,102032,Lava fountains,,,,,,,,;
223020,Nyamuragira,14067,1971,102033,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14067,1971,102034,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14067,1971,102035,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14067,1971,102036,Earthquakes (undefined),,,,,,,,;
223020,Nyamuragira,14068,1976,102039,Explosion,,,,,,,,;
223020,Nyamuragira,14068,1976,102040,Lapilli,,,,,,,,;
"223020,Nyamuragira,14068,1976,102041,Lava flow(s),""violent, strong, or large"",,,,,,,";
223020,Nyamuragira,14068,1976,102042,Lava lake,,,,,,,,;
223020,Nyamuragira,14068,1976,102043,Lava fountains,,,,,,,,;
223020,Nyamuragira,14068,1976,102044,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14068,1976,102045,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14068,1976,102046,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14069,1980,102049,Explosion,,,,,,,,;
223020,Nyamuragira,14069,1980,102050,Ash,,,,,,,,;
223020,Nyamuragira,14069,1980,102051,Scoria,,,,,,,,;
223020,Nyamuragira,14069,1980,102052,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14073,1986,102053,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14073,1986,102054,Lava lake,,,,,,,,;
223020,Nyamuragira,14073,1986,102055,Property damage,,,,,,,,;
223020,Nyamuragira,14073,1986,102056,Lava fountains,,,,,,,,;
223020,Nyamuragira,14073,1986,102057,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14073,1986,102058,Earthquakes (undefined),,,,,,,,;
223020,Nyamuragira,14073,1986,102059,Fauna kill,Terrestrial.,,,,,,,;
223020,Nyamuragira,14074,1987,102061,Explosion,weak or small,,,,,,,;
223020,Nyamuragira,14074,1987,102062,Scoria,,,,,,,,;
223020,Nyamuragira,14074,1987,102063,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14074,1987,102064,Lava fountains,,,,,,,,;
223020,Nyamuragira,14074,1987,102065,Crater formation,Parasitic.,,,,,,,;
223020,Nyamuragira,14074,1987,102066,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14075,1989,102070,Explosion,,,,,,,,;
223020,Nyamuragira,14075,1989,102071,Scoria,,,,,,,,;
223020,Nyamuragira,14075,1989,102072,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14075,1989,102073,Lava fountains,,,,,,,,;
223020,Nyamuragira,14075,1989,102074,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14075,1989,102075,Volcanic tremor,,,,,,,,;
223020,Nyamuragira,14075,1989,102076,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14076,1991,102078,Explosion,,,,,,,,;
223020,Nyamuragira,14076,1991,102079,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14076,1991,102080,Property damage,,,,,,,,;
223020,Nyamuragira,14076,1991,102081,Lava fountains,,,,,,,,;
223020,Nyamuragira,14076,1991,102082,Cinder cone formation,,,,,,,,;
223020,Nyamuragira,14076,1991,102083,Volcanic tremor,,,,,,,,;
223020,Nyamuragira,14076,1991,102084,Earthquakes (undefined),Before.,,,,,,,;
223020,Nyamuragira,14083,2004,102086,Explosion,,,,,,,,;
223020,Nyamuragira,14083,2004,102087,Ash,,,,,,,,;
223020,Nyamuragira,14083,2004,102088,Lava flow(s),,,,,,,,;
223020,Nyamuragira,14083,2004,102089,Lava lake,,,,,,,,;
